yyyy-mm-dd, MeanAvgTemperature
2013-01-01,43.49350073855249
2013-02-01,46.06136701337288
2013-03-01,53.37860326894506
2013-04-01,57.43545994065284
2013-05-01,62.35646359583951
2013-06-01,69.54053651266763
2013-07-01,74.85195195195196
2013-08-01,72.08680659670168
2013-09-01,68.03518796992472
2013-10-01,58.490468986384236
2013-11-01,52.87496206373294
2013-12-01,45.50668693009115
2014-01-01,51.238495575221194
2014-02-01,49.98252569750369
2014-03-01,53.5742222222222
2014-04-01,57.07789317507416
2014-05-01,63.33571428571425
2014-06-01,69.05037369207781
2014-07-01,75.55178041543024
2014-08-01,72.74300595238098
2014-09-01,70.63283803863308
2014-10-01,63.96363636363632
2014-11-01,53.81624441132641
2014-12-01,47.8428571428571
2015-01-01,49.930298507462666
2015-02-01,53.59671150971603
2015-03-01,56.960772659732626
2015-04-01,56.09760837070251
2015-05-01,59.27432835820898
2015-06-01,71.54992481203008
2015-07-01,72.5867669172932
2015-08-01,74.08163884673745
2015-09-01,70.8637878787878
2015-10-01,64.97378787878785
2015-11-01,48.693333333333314
2015-12-01,43.55319148936173
2016-01-01,45.584673748103185
2016-02-01,52.747720364741674
2016-03-01,52.34531722054381
2016-04-01,57.31329305135947
2016-05-01,60.71646525679759
2016-06-01,70.56899696048627
2016-07-01,73.76635944700458
2016-08-01,73.51203703703702
2016-09-01,68.16224961479195
2016-10-01,59.82423312883439
2016-11-01,53.402307692307694
2016-12-01,44.569302325581425
2017-01-01,43.01116207951068
2017-02-01,47.53956723338481
2017-03-01,53.15793528505388
2017-04-01,55.00416666666667
2017-05-01,61.853466872111
2017-06-01,69.77951070336387
2017-07-01,75.66671802773504
2017-08-01,75.14923312883435
2017-09-01,68.57248840803712
2017-10-01,61.88065015479875
2017-11-01,53.58211508553647
2017-12-01,48.73426356589148
